"Sample","Glikoliz","TCA_Dongusu","Lipid_Sentezi","Nukleotit","Cancer"
"TCGA-IB-A6UG-01A",3.80018032368094,3.67576081164381,3.58336511276349,3.4184952311413,"PAAD"
"TCGA-3A-A9IU-01A",3.93289169390133,3.69367988731147,3.58200158445105,3.41330607383509,"PAAD"
"TCGA-FB-A545-01A",3.8266319487744,3.5851077726968,3.46637326350358,3.35634017694305,"PAAD"
"TCGA-IB-AAUQ-01A",3.84616085758717,3.63789078624495,3.54842677078218,3.37434705199717,"PAAD"
"TCGA-HV-A5A3-01A",3.81911744159437,3.59583846085378,3.40784331135508,3.3320356449926,"PAAD"
"TCGA-IB-7897-01A",3.7661622364348,3.70603824231641,3.82269036839728,3.45932713516385,"PAAD"
"TCGA-HV-AA8V-01A",3.85050050551282,3.67810894755718,3.63162880322661,3.43498781794813,"PAAD"
"TCGA-HV-A5A5-01A",3.77993706498229,3.66982984008181,3.60031551962379,3.39808138945972,"PAAD"
"TCGA-HZ-8638-01A",3.8848426496004,3.8131553861381,3.67704250928473,3.59769912618765,"PAAD"
"TCGA-F2-7276-01A",3.81075423543289,3.75047772929122,3.76202830586558,3.44040738549989,"PAAD"
"TCGA-F2-6880-01A",3.49368133787288,3.56743367092491,3.5245523091199,3.08889517674041,"PAAD"
"TCGA-M8-A5N4-01A",3.86530197811692,3.62285538823954,3.57826118813001,3.38052230435586,"PAAD"
"TCGA-3A-A9IJ-01A",3.62217507473971,3.69978940558738,3.63410257510988,3.29714901229877,"PAAD"
"TCGA-HZ-8637-01A",3.82202278088948,3.80423366556334,3.70196689058064,3.54632125750435,"PAAD"
"TCGA-IB-AAUN-01A",3.83814488267815,3.65011930484526,3.59627500244371,3.49502670854672,"PAAD"
"TCGA-IB-AAUW-01A",3.79735835015918,3.72246600532141,3.71334155094673,3.44247911113005,"PAAD"
"TCGA-IB-7888-01A",3.7624159812637,3.68681848066359,3.64905951577969,3.41018748353952,"PAAD"
"TCGA-2L-AAQA-01A",3.9246951318396,3.71705029710085,3.68734460107463,3.55947352288451,"PAAD"
"TCGA-RB-A7B8-01A",3.81946487113952,3.65290508164702,3.56577939568217,3.40416810857625,"PAAD"
"TCGA-2L-AAQM-01A",3.91444605224721,3.64979916509125,3.59548465699964,3.21258682630025,"PAAD"
"TCGA-2J-AABE-01A",3.80212948717514,3.65531788410147,3.60912037902704,3.36692494122192,"PAAD"
"TCGA-IB-7889-01A",3.80752969861774,3.74548122976454,3.63684135986447,3.43367136490598,"PAAD"
"TCGA-IB-A6UF-01A",3.9077711668926,3.69737934324737,3.56813643351571,3.43372841737685,"PAAD"
"TCGA-F2-A8YN-01A",3.86135037823552,3.71743606198697,3.5919218262013,3.42694112984012,"PAAD"
"TCGA-F2-A44H-01A",3.62961305950256,3.58453826696247,3.46821905442312,3.23630613841662,"PAAD"
"TCGA-YH-A8SY-01A",3.85153849435522,3.66578296779409,3.54305436521205,3.44568427396128,"PAAD"
"TCGA-3A-A9IC-01A",3.85064292064762,3.6821807076018,3.54510485402543,3.47341009045919,"PAAD"
"TCGA-HZ-A4BK-01A",3.79942448056006,3.68047164551144,3.59750125775733,3.41504011920545,"PAAD"
"TCGA-H6-A45N-11A",3.67505396096912,3.61898579780532,3.57079468654786,3.42673619756041,"PAAD"
"TCGA-Z5-AAPL-01A",3.76375014628968,3.64757281266289,3.61706193210527,3.47480710508901,"PAAD"
"TCGA-H6-A45N-01A",3.72890389286027,3.6102027044592,3.55063278481576,3.30459818186878,"PAAD"
"TCGA-HZ-A4BH-01A",3.81254163826788,3.69940283952043,3.73565519874168,3.44306190894501,"PAAD"
"TCGA-F2-A7TX-01A",3.9125658517707,3.74941874398601,3.68603849387075,3.51675734551346,"PAAD"
"TCGA-Q3-A5QY-01A",3.75182344303521,3.6642509526032,3.69667639760899,3.42224933113489,"PAAD"
"TCGA-F2-A44G-01A",3.87730698495454,3.6745321204944,3.61511497051739,3.44423148263002,"PAAD"
"TCGA-HZ-A49G-01A",3.79601146570829,3.67578003332479,3.6851722587568,3.37360791283373,"PAAD"
"TCGA-HZ-8005-01A",3.94656284131542,3.70658728347945,3.57524778418772,3.5405967747124,"PAAD"
"TCGA-HZ-8001-01A",3.83897843724706,3.74083323249892,3.70888927730423,3.5010745792253,"PAAD"
"TCGA-LB-A7SX-01A",3.7890149410823,3.72375468328777,3.58082754618271,3.49690783827466,"PAAD"
"TCGA-HV-A5A6-01A",3.77030697626176,3.67449855601282,3.44163407493546,3.40383562311624,"PAAD"
"TCGA-HZ-8003-01A",3.75039506984111,3.6885789785185,3.66212308210568,3.42906889607869,"PAAD"
"TCGA-IB-AAUS-01A",3.83059030413618,3.69371859780962,3.64026768925754,3.43400647996632,"PAAD"
"TCGA-HZ-A77P-01A",3.83359345466887,3.78148908624438,3.67287582918293,3.49508752576535,"PAAD"
"TCGA-US-A77E-01A",3.85315302792913,3.69818508629545,3.60965598685075,3.43405656541277,"PAAD"
"TCGA-IB-7890-01A",3.86002595385679,3.65559119350697,3.62663709215616,3.41044298275423,"PAAD"
"TCGA-LB-A9Q5-01A",3.7273420295053,3.60561347395633,3.55483637809128,3.30306603606694,"PAAD"
"TCGA-IB-7644-01A",3.90571680957744,3.76115305883556,3.70737073625998,3.56126559454545,"PAAD"
"TCGA-2J-AABT-01A",3.76626976180626,3.71430474113155,3.60373161776222,3.33805903941688,"PAAD"
"TCGA-2J-AAB1-01A",3.81813631149059,3.6796436254623,3.61431410991805,3.4367808685874,"PAAD"
"TCGA-HZ-7920-01A",3.80657681304871,3.74045553664012,3.78447123848972,3.47819182595479,"PAAD"
"TCGA-3A-A9IL-01A",3.60150991614063,3.60928245670944,3.66142853855987,3.26599521984092,"PAAD"
"TCGA-2J-AABI-01A",3.96654944064279,3.69745210378916,3.60322439708641,3.57122097623965,"PAAD"
"TCGA-IB-7647-01A",3.95040131621345,3.82605273777452,3.77587383452294,3.63394134191258,"PAAD"
"TCGA-IB-A5SS-01A",3.95749829511959,3.73835850202153,3.68257324154236,3.52217746111844,"PAAD"
"TCGA-S4-A8RO-01A",3.87377772963677,3.70279543685017,3.64273535856753,3.53509786953895,"PAAD"
"TCGA-IB-A5ST-01A",3.7942303151322,3.7194268323107,3.71529362482628,3.45577477855196,"PAAD"
"TCGA-HZ-7918-01A",3.78919631375865,3.76109337131496,3.65314709456933,3.48889703824842,"PAAD"
"TCGA-HZ-7923-01A",3.82741868446839,3.71043778016271,3.78336951918431,3.47372420781843,"PAAD"
"TCGA-XD-AAUI-01A",3.87407983485425,3.69331762830104,3.66730118424312,3.45725857577174,"PAAD"
"TCGA-IB-AAUO-01A",3.87639023230015,3.66244868659159,3.51690512591104,3.5279427735717,"PAAD"
"TCGA-PZ-A5RE-01A",3.91818161026529,3.73015740889442,3.62271359205483,3.48777855968464,"PAAD"
"TCGA-2J-AABA-01A",3.74889698715239,3.61494226017089,3.55568099710712,3.39788886460072,"PAAD"
"TCGA-HV-A5A4-01A",3.82906547106857,3.66857650981572,3.58043045085519,3.41580004131265,"PAAD"
"TCGA-HV-A5A3-11A",3.70792804609335,3.68626002138969,3.55138565858119,3.33839033273808,"PAAD"
"TCGA-3A-A9IZ-01A",3.88581706990182,3.63491267411088,3.52471577759287,3.434295382189,"PAAD"
"TCGA-XD-AAUL-01A",3.88186218028086,3.70115532085325,3.64461037736941,3.42532465689963,"PAAD"
"TCGA-IB-7886-01A",3.86846519533523,3.73765680597086,3.6467830151798,3.49259453442797,"PAAD"
"TCGA-S4-A8RM-01A",3.85055556126151,3.689601562586,3.59391970767496,3.45884256133248,"PAAD"
"TCGA-HZ-A49H-01A",3.71375305651289,3.65978710182121,3.65593932524265,3.39747731516194,"PAAD"
"TCGA-HZ-8636-01A",3.91739133044952,3.73860640584088,3.71943395484521,3.53439375586849,"PAAD"
"TCGA-IB-AAUU-01A",3.92190238033163,3.72350510492829,3.65712233370075,3.46605010450947,"PAAD"
"TCGA-IB-7885-01A",3.93522118690966,3.76750305205804,3.79126126493737,3.55776280902741,"PAAD"
"TCGA-2J-AABO-01A",3.75636643676496,3.61458654840876,3.48996416162078,3.31519078444098,"PAAD"
"TCGA-HZ-A8P1-01A",3.80490791922412,3.66294022265289,3.60801445628061,3.41401023656406,"PAAD"
"TCGA-2J-AABV-01A",3.55201842100538,3.52269825241422,3.34157132554832,3.13201814190752,"PAAD"
"TCGA-US-A77G-01A",3.84322391757917,3.69689603957199,3.64117137262249,3.47673736923075,"PAAD"
"TCGA-US-A774-01A",3.83146692655127,3.7292537430372,3.67398739087833,3.46712682133078,"PAAD"
"TCGA-HZ-7919-01A",3.89638889636692,3.74029893577003,3.67128911357829,3.53901687617823,"PAAD"
"TCGA-2J-AABU-01A",3.77790178807403,3.54903295555308,3.34090265248898,3.32229588617451,"PAAD"
"TCGA-IB-7651-01A",3.95269479931953,3.78817217778773,3.7515063159871,3.54106949859657,"PAAD"
"TCGA-HZ-8315-01A",3.83821036956425,3.72453154519636,3.65797387125864,3.45707989583025,"PAAD"
"TCGA-2L-AAQL-01A",3.75975755018911,3.64555635389375,3.53254669882458,3.33473633432506,"PAAD"
"TCGA-IB-7893-01A",3.88576180646573,3.73477689915883,3.6340708721932,3.56108228708093,"PAAD"
"TCGA-FB-A7DR-01A",3.84898056924613,3.7117521555646,3.55372217318303,3.46529725600462,"PAAD"
"TCGA-FB-AAPS-01A",3.74985092456314,3.61616385415801,3.61675488049733,3.33061320569824,"PAAD"
